Clearance_Name,DoorName2,ElevatorName,ScheduleName
TSU-Bookstore 10am-4pm-DEPT,TSU-01-1137-Catering Production Vestibule Entry-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-1235A-Shipping and Receiving Main Entry-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-1250-Employee Lounge Exit-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-1293-Northeast Stair-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-E1150A-Loading Dock Man Door Entrance-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-E1150A-Loading Dock Man Door Entrance-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-E1150B-Loading Dock Roll Up Door-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-E1150B-Loading Dock Roll Up Door-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-01-E1200-Starbucks Entry ADA-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-2239AB-Bookstore Back Entry-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-E2142-Far East High Ceiling Pavilion ADA-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-E2200AB-South Main Entrance-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-E2200AC-South Main Entrance-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-E2251B-East Lobby Entry-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-02-E2251B-East Lobby Entry-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-04-4221-Copy and Supply Room-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-G-NA-Man Gate-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore 10am-4pm-DEPT,TSU-G-NA-Traffic Gate-DEPT,,TSU-Bookstore 10am-4pm
TSU-Bookstore Concessions-DEPT,TSU-01-1137-Catering Production Vestibule Entry-DEPT,,Always
TSU-Bookstore Concessions-DEPT,TSU-01-1195-West Stair 1198-DEPT,,Always
TSU-Bookstore Concessions-DEPT,TSU-01-1293-Northeast Stair-DEPT,,Always
